C,07:50,dormitory_o,shuttlecock_i
DH,08:00,shuttlecock_o,shuttlecock_i
DH,08:05,shuttlecock_o,shuttlecock_i
DH,08:10,shuttlecock_o,shuttlecock_i
DH,08:15,shuttlecock_o,shuttlecock_i
DH,08:20,shuttlecock_o,shuttlecock_i
DY,08:20,shuttlecock_o,shuttlecock_i
DH,08:23,shuttlecock_o,shuttlecock_i
DH,08:26,shuttlecock_o,shuttlecock_i
DH,08:29,shuttlecock_o,shuttlecock_i
DH,08:32,shuttlecock_o,shuttlecock_i
DH,08:35,shuttlecock_o,shuttlecock_i
DH,08:38,shuttlecock_o,shuttlecock_i
DH,08:41,shuttlecock_o,shuttlecock_i
DH,08:44,shuttlecock_o,shuttlecock_i
DH,08:47,shuttlecock_o,shuttlecock_i
DH,08:50,shuttlecock_o,shuttlecock_i
DY,08:50,shuttlecock_o,shuttlecock_i
DH,08:55,shuttlecock_o,shuttlecock_i
DH,09:00,shuttlecock_o,shuttlecock_i
DH,09:05,shuttlecock_o,shuttlecock_i
DH,09:10,shuttlecock_o,shuttlecock_i
DH,09:15,shuttlecock_o,shuttlecock_i
DH,09:20,shuttlecock_o,shuttlecock_i
DY,09:20,shuttlecock_o,shuttlecock_i
DH,09:23,shuttlecock_o,shuttlecock_i
DH,09:26,shuttlecock_o,shuttlecock_i
DH,09:29,shuttlecock_o,shuttlecock_i
DH,09:32,shuttlecock_o,shuttlecock_i
DH,09:35,shuttlecock_o,shuttlecock_i
DH,09:38,shuttlecock_o,shuttlecock_i
DH,09:41,shuttlecock_o,dormitory_i
DH,09:44,shuttlecock_o,dormitory_i
DH,09:47,shuttlecock_o,dormitory_i
DH,09:50,shuttlecock_o,dormitory_i
DY,09:50,shuttlecock_o,dormitory_i
DH,09:55,shuttlecock_o,dormitory_i
DH,10:00,dormitory_o,dormitory_i
DH,10:05,dormitory_o,dormitory_i
DH,10:10,dormitory_o,dormitory_i
DH,10:15,dormitory_o,dormitory_i
DH,10:20,dormitory_o,dormitory_i
DY,10:20,dormitory_o,dormitory_i
DH,10:25,dormitory_o,dormitory_i
DH,10:30,dormitory_o,dormitory_i
DH,10:40,dormitory_o,dormitory_i
DH,10:50,dormitory_o,dormitory_i
DY,10:50,dormitory_o,dormitory_i
DH,11:00,dormitory_o,dormitory_i
DH,11:15,dormitory_o,dormitory_i
DY,11:20,dormitory_o,dormitory_i
DH,11:30,dormitory_o,dormitory_i
DH,11:45,dormitory_o,dormitory_i
DY,11:50,dormitory_o,dormitory_i
DH,12:00,dormitory_o,dormitory_i
DH,12:10,dormitory_o,dormitory_i
C,12:20,dormitory_o,dormitory_i
DH,12:30,dormitory_o,dormitory_i
DH,12:40,dormitory_o,dormitory_i
DH,12:50,dormitory_o,dormitory_i
C,13:00,dormitory_o,dormitory_i
DJ,13:15,dormitory_o,dormitory_i
C,13:30,dormitory_o,dormitory_i
DH,13:45,dormitory_o,dormitory_i
C,14:00,dormitory_o,dormitory_i
DJ,14:15,dormitory_o,dormitory_i
C,14:30,dormitory_o,dormitory_i
DH,14:45,dormitory_o,dormitory_i
C,15:00,dormitory_o,dormitory_i
DJ,15:10,dormitory_o,dormitory_i
DH,15:20,dormitory_o,dormitory_i
C,15:30,dormitory_o,dormitory_i
DH,15:40,dormitory_o,dormitory_i
DH,15:50,dormitory_o,dormitory_i
DH,16:00,dormitory_o,dormitory_i
DY,16:00,dormitory_o,dormitory_i
DH,16:06,dormitory_o,dormitory_i
DJ,16:12,dormitory_o,dormitory_i
DH,16:18,dormitory_o,dormitory_i
DH,16:24,dormitory_o,dormitory_i
DH,16:30,dormitory_o,dormitory_i
DY,16:30,dormitory_o,dormitory_i
DH,16:36,dormitory_o,dormitory_i
DH,16:42,dormitory_o,dormitory_i
DH,16:48,dormitory_o,dormitory_i
DH,16:54,dormitory_o,dormitory_i
DH,17:00,dormitory_o,dormitory_i
DY,17:00,dormitory_o,dormitory_i
DH,17:06,dormitory_o,dormitory_i
DJ,17:12,dormitory_o,dormitory_i
DH,17:18,dormitory_o,dormitory_i
DH,17:24,dormitory_o,dormitory_i
DH,17:30,dormitory_o,dormitory_i
DY,17:30,dormitory_o,dormitory_i
DH,17:36,dormitory_o,dormitory_i
DH,17:42,dormitory_o,dormitory_i
DH,17:48,dormitory_o,dormitory_i
DH,17:54,dormitory_o,dormitory_i
C,18:00,dormitory_o,dormitory_i
DH,18:06,dormitory_o,dormitory_i
DH,18:12,dormitory_o,dormitory_i
DH,18:18,dormitory_o,dormitory_i
DH,18:24,dormitory_o,dormitory_i
C,18:30,dormitory_o,dormitory_i
DH,18:40,dormitory_o,dormitory_i
DH,18:50,dormitory_o,dormitory_i
C,19:00,dormitory_o,dormitory_i
C,19:10,dormitory_o,dormitory_i
C,19:20,dormitory_o,dormitory_i
C,19:30,dormitory_o,dormitory_i
C,19:40,dormitory_o,dormitory_i
C,19:50,dormitory_o,dormitory_i
C,20:00,dormitory_o,dormitory_i
C,20:10,dormitory_o,dormitory_i
C,20:20,dormitory_o,dormitory_i
C,20:30,dormitory_o,dormitory_i
C,20:40,dormitory_o,dormitory_i
C,20:50,dormitory_o,dormitory_i
C,21:00,dormitory_o,dormitory_i
C,21:10,dormitory_o,dormitory_i
C,21:20,dormitory_o,dormitory_i
C,21:30,dormitory_o,dormitory_i
C,21:45,dormitory_o,dormitory_i
C,22:00,dormitory_o,dormitory_i
C,22:15,dormitory_o,dormitory_i
C,22:30,dormitory_o,dormitory_i
C,22:45,dormitory_o,dormitory_i
C,23:00,dormitory_o,dormitory_i
